date,district,source,value
2026-01-07 00:44:18,Mono Basin,Lee Vining Intake Above Flow,93.1
2026-01-07 00:44:18,Mono Basin,Lee Vining Intake Below Flow,18.3
2026-01-07 00:44:18,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2026-01-07 00:44:18,Mono Basin,L.V. Conduit Below Intake Flow,47.6
2026-01-07 00:44:18,Mono Basin,Walker Ck. Under Conduit Flow,4.0
2026-01-07 00:44:18,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2026-01-07 00:44:18,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2026-01-07 00:44:18,Mono Basin,Grant Lk. Spill Flow,0.0
2026-01-07 00:44:18,Mono Basin,Mono Gate 1 Return Ditch Flow,27.1
2026-01-07 00:44:18,Mono Basin,Grant Lk. Outflow,69.9
2026-01-07 00:44:18,Mono Basin,Rush Ck. at Damsite Flow,43.5
2026-01-07 00:44:18,Mono Basin,Flow to West Portal,39.9
2026-01-07 00:44:18,Long Valley,East Portal Flow,52.0
2026-01-07 00:44:18,Long Valley,OR Below EP Flow,106.0
2026-01-07 00:44:18,Long Valley,Hot Ck.at Hwy. Flow,10.0
2026-01-07 00:44:18,Long Valley,McGee Ck. Lower Sta. Flow,11.2
2026-01-07 00:44:18,Long Valley,Long Valley Current Outflow,0.0
2026-01-07 00:44:18,Long Valley,Rock Ck. Div. Flow,0.0
2026-01-07 00:44:18,Long Valley,Upper Gorge Total Release,40.7
2026-01-07 00:44:18,Long Valley,Release at Middle Gorge,0.0
2026-01-07 00:44:18,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,50.0
2026-01-07 00:44:18,Northern Owens Valley,Pleasant Valley Outflow,114.3
2026-01-07 00:44:18,Northern Owens Valley,Baker Ck. At LA Station Flow,7.4
2026-01-07 00:44:18,Northern Owens Valley,Big Pine Ck. USGS Flow,14.7
2026-01-07 00:44:18,Northern Owens Valley,O.R. Below Big Pine,259.6
2026-01-07 00:44:18,Northern Owens Valley,Fish Springs At RR Flow,21.7
2026-01-07 00:44:18,Northern Owens Valley,Tinemaha Reservoir Outflow,206.0
2026-01-07 00:44:18,Northern Owens Valley,Bishop Creek Through Plant 6,52.4
2026-01-07 00:44:18,Northern Owens Valley,Bishop Creek Around Plant 6,4.7
2026-01-07 00:44:18,Southern Owens Valley,Tinemaha Reservoir Outflow,206.0
2026-01-07 00:44:18,Southern Owens Valley,Indep. Ck. At Junction Flow,6.3
2026-01-07 00:44:18,Southern Owens Valley,LAA at Alabama Flow,229.0
2026-01-07 00:44:18,Southern Owens Valley,Cottonwood Ck. At LAA Flow,14.0
2026-01-07 00:44:18,Southern Owens Valley,LAA at Cottonwood Flow,292.0
2026-01-07 00:44:18,Southern Owens Valley,Haiwee LAA #1 Current Flow,0.0
2026-01-07 00:44:18,Southern Owens Valley,Haiwee LAA #2 Current Flow,237.9
2026-01-07 00:44:18,Southern Owens Valley,Reinhackel Flow,1.8
2026-01-07 00:44:18,Southern Owens Valley,Lubkin Spillgate Outflow,0.0
2026-01-07 00:44:18,Southern Owens Valley,Cartago Spillgate Outflow,0.0
2026-01-07 00:44:18,Southern Owens Valley,Lone Pine Creek Flow,8.7
2026-01-07 00:44:18,Lower Owens River Project,LORP Intake Flow,44.0
2026-01-07 00:44:18,Lower Owens River Project,LORP at Mazourka Canyon Road,46.0
2026-01-07 00:44:18,Lower Owens River Project,LORP at Reinhackle Springs,63.0
2026-01-07 00:44:18,Lower Owens River Project,LORP Above Pumpstation,60.0
2026-01-07 00:44:18,Lower Owens River Project,LORP At Pump Station Discharge Flow,46.0
2026-01-07 00:44:18,Southern District,Haiwee LAA #2 Current Flow,237.9
2026-01-07 00:44:18,Southern District,Haiwee LAA #1 Current Flow,0.0
2026-01-07 00:44:18,Southern District,LAA #1 Flow at Fairmont Reservoir,183.8
2026-01-07 00:44:18,Southern District,LAA #2 Flow at Fairmont Res.,255.9
2026-01-07 00:44:18,Southern District,Bouquet Reservoir Inflow,0.3
2026-01-07 00:44:18,Southern District,Bouquet Reservoir Outflow,0.6
2026-01-07 00:44:18,Southern District,LAA #1 at Soledad Flow,158.7
2026-01-07 00:44:18,Southern District,LAA #2 at Soledad Flow,246.9
2026-01-07 00:44:19,Mono Basin,Mono Lk. Elevation,6381.9
2026-01-07 00:44:19,Mono Basin,Grant Lk. Elevation,7122.1
2026-01-07 00:44:19,Long Valley,Long Valley Elevation,6772.4
2026-01-07 00:44:19,Northern Owens Valley,Pleasant Valley Elevation,4388.5
2026-01-07 00:44:19,Southern Owens Valley,LAA at Alabama Level,6.1
2026-01-07 00:44:19,Southern Owens Valley,LAA at Alabama Water Temp,44.2
2026-01-07 00:44:19,Southern Owens Valley,LAA at Cottonwood Level,7.9
2026-01-07 00:44:19,Southern Owens Valley,LAA at Cotton. Water Temp,44.4
2026-01-07 00:44:19,Southern Owens Valley,N. Haiwee Elevation,3757.1
2026-01-07 00:44:19,Southern Owens Valley,S. Haiwee Reservoir Elevation,3736.7
2026-01-07 00:44:19,Southern District,S. Haiwee Reservoir Elevation,3736.7
2026-01-07 00:44:19,Southern District,Fairmont Reservoir Elevation,3020.3
2026-01-07 00:44:19,Southern District,Bouquet Reservoir Elevation,2967.4
2026-01-07 01:29:19,Northern Owens Valley,Tinemaha Elevation,3864.7
2026-01-07 01:29:19,Southern Owens Valley,Tinemaha Elevation,3864.7
2026-01-07 01:44:18,Mono Basin,Lee Vining Intake Above Flow,93.1
2026-01-07 01:44:18,Mono Basin,Lee Vining Intake Below Flow,18.3
2026-01-07 01:44:18,Mono Basin,Walker Ck. Above Conduit Flow,4.0
2026-01-07 01:44:18,Mono Basin,L.V. Conduit Below Intake Flow,47.6
2026-01-07 01:44:18,Mono Basin,Walker Ck. Under Conduit Flow,4.0
2026-01-07 01:44:18,Mono Basin,Parker Ck. Under Conduit Flow,6.0
2026-01-07 01:44:18,Mono Basin,Parker Ck. Above Conduit Flow,6.0
2026-01-07 01:44:18,Mono Basin,Grant Lk. Spill Flow,0.0
2026-01-07 01:44:18,Mono Basin,Mono Gate 1 Return Ditch Flow,27.0
2026-01-07 01:44:18,Mono Basin,Grant Lk. Outflow,69.6
2026-01-07 01:44:18,Mono Basin,Rush Ck. at Damsite Flow,43.5
2026-01-07 01:44:18,Mono Basin,Flow to West Portal,39.9
2026-01-07 01:44:18,Long Valley,East Portal Flow,52.0
2026-01-07 01:44:18,Long Valley,OR Below EP Flow,106.0
2026-01-07 01:44:18,Long Valley,Hot Ck.at Hwy. Flow,10.0
2026-01-07 01:44:18,Long Valley,McGee Ck. Lower Sta. Flow,11.2
2026-01-07 01:44:18,Long Valley,Long Valley Current Outflow,0.0
2026-01-07 01:44:18,Long Valley,Rock Ck. Div. Flow,0.0
2026-01-07 01:44:18,Long Valley,Upper Gorge Total Release,40.7
2026-01-07 01:44:18,Long Valley,Release at Middle Gorge,0.0
2026-01-07 01:44:18,Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,50.1
2026-01-07 01:44:18,Northern Owens Valley,Pleasant Valley Outflow,114.2
2026-01-07 01:44:18,Northern Owens Valley,Baker Ck. At LA Station Flow,7.4
